Progressivo Consigliere Firmatario;Tipologia Atto;Data Seduta di Consiglio;Oggetto Atto;Num. PG;Anno PG;Data Pubblicazione;Ufficio Proponente;Consigliere Firmatario;Altri Consiglieri Firmatari - Progressivo;Testo
;"OdG";29/07/2013;"ATTIVITA' DEL CONSIGLIO COMUNALE CONSEGUENTI AL REFERENDUM CONSULTIVO DEL 26 MAGGIO 2013, AI SENSI DEGLI ARTT. 7, COMMA 8, DELLO STATUTO COMUNALE E  22 DEL REGOLAMENTO SUI DIRITTI DI PARTECIPAZIONE E INFORMAZIONE DEI CITTADINI (ARGOMENTO SU PROPOSTA DELLA PRESIDENZA DEL CONSIGLIO COMUNALE).";180959;2013;;"Segreteria Generale";;;
"29442";"OdG";29/07/2013;"ORDINE DEL GIORNO PER IL MANTENIMENTO DELL'ATTUALE SISTEMA PUBBLICO INTEGRATO E DELL'EROGAZIONE DELLE RISORSE FINANZIARIE COMUNALI DESTINATE AL SUPPORTO DELLE SCUOLE PARITARIE CONVENZIONATE. PRESENTATO DAL CONSIGLIERE CRITELLI ED ALTRI IN DATA 22 LUGLIO 2013.";186410;2013;;"PARTITO DEMOCRATICO";"CRITELLI FRANCESCO";"CAVIANO PASQUALE - 32714";
"33978";"OdG";29/07/2013;"ORDINE DEL GIORNO PER CHIEDERE ALLA GIUNTA L'INSERIMENTO DI CLAUSOLE SOCIALI NEGLI INDIRIZZI DELLA GARA D'APPALTO DEL PATRIMONIO VERDE COMUNALE, PRESENTATO DAL CONSIGLIERE ERRANI NELLA SEDUTA DEL 29 LUGLIO 2013 E APPROVATO ALL'UNANIMITA' DEI PRESENTI NEL CORSO DELLA SEDUTA STESSA";192000;2013;;"Segreteria Generale";"ERRANI FRANCESCO";;
"33983";"OdG";29/07/2013;"ORDINE DEL GIORNO PER INVITARE IL SINDACO E LA GIUNTA A CONSIDERARE, NEL PIANO DI RIQUALIFICAZIONE DELLA FIERA DI SANTA LUCIA, LA POSSIBILITA' DURANTE I T-DAYS DI ARRIVARVI COINVOLGENDO ALTRE ZONE DEL CENTRO STORICO, PRESENTATO DALLA CONSIGLIERA BORGONZONI ED ALTRI NELLA SEDUTA DEL 29 LUGLIO 2013 E APPROVATO ALL'UNANIMITA' DEI PRESENTI NEL CORSO DELLA SEDUTA STESSA";192073;2013;;"Segreteria Generale";"BORGONZONI LUCIA";"CIPRIANI LORENZO - 26392","GHETTI MAURIZIO - 22034","PIERALISI MIRCO - 33980";
;"Delibera di Consiglio";31/07/2013;"ADEGUAMENTO TARIFFARIO PER IL TRASPORTO PUBBLICO LOCALE DI LINEA DEL BACINO BOLOGNESE: APPROVAZIONE.";176069;2013;02/08/2013;"Mobilità Sostenibile";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/34264684A0EF964CC1257BA40035C400?OpenDocument"
"27208";"OdG";31/07/2013;"ORDINE DEL GIORNO PER INVITARE LA GIUNTA A PROMUOVERE OGNI SFORZO ED AZIONE POLITICA AL FINE DI PROSEGUIRE E AMPLIARE LA SPERIMENTAZIONE DEI 'TORNELLI' SU ALCUNE LINEE TPER, PRESENTATO DAL CONSIGLIERE TOMASSINI NELLA SEDUTA DEL 31 LUGLIO 2013 E APPROVATO ALL'UNANIMITA' DEI PRESENTI NEL CORSO DELLA SEDUTA STESSA";195043;2013;;"Segreteria Generale";"TOMASSINI LORENZO";;
"26392";"OdG";31/07/2013;"ORDINE DEL GIORNO PER INVITARE LA GIUNTA A STUDIARE IL PIANO DI RIMODULAZIONE DI CORSE E LINEE, COINVOLGENDO I QUARTIERI E LE ORGANIZZAZIONI SINDACALI, SALVAGUARDANDO LA QUALITA' DEL SERVIZIO E L'IMPATTO SUI CITTADINI, PRESENTATO DAI CONSIGIERI CIPRIANI E ALTRI NELLA SEDUTA DEL 31 LUGLIO 2013 E APPROVATO NEL CORSO DELLA SEDUTA STESSA";195373;2013;;"Segreteria Generale";"CIPRIANI LORENZO";"CAVIANO PASQUALE - 32714","CRITELLI FRANCESCO - 29442","PIERALISI MIRCO - 33980","SAZZINI LORENZO - 33987";
"33985";"OdG";31/07/2013;"ORDINE DEL GIORNO PER INVITARE LA GIUNTA A VERIFICARE CON TPER IL RISPETTO DI TUTTI I PUNTI DEL CONTRATTO DI SERVIZIO, SOLLECITANDO UNA RIORGANIZZAZIONE CHE MIRI ALL'EFFICIENTAMENTO E INVITANDO TPER STESSA A RECUPERARE RISORSE DA INVESTIRE IN MEZZI PIU' EFFICIENTI ED ECOLOGICI, PRESENTATO DAI CONSIGLIERI PIAZZA E ALTRO NELLA SEDUTA DEL 31 LUGLIO 2013 E APPROVATO ALL'UNANIMITA' DEI PRESENTI NEL CORSO DELLA SEDUTA STESSA";195460;2013;;"Segreteria Generale";"PIAZZA MARCO";"BUGANI MASSIMO - 33984";
"33983";"OdG";31/07/2013;"ORDINE DEL GIORNO PER INVITARE IL SINDACO E LA GIUNTA A METTERE IN ATTO AZIONI TESE AD AUMENTARE LA REGOLARITA' E LA VELOCITA' DEI MEZZI DI TPL, A CHIEDERE A TPER DI AUMENTARE LE RISORSE UMANE DEDICATE AL  CONTROLLO DEI TITOLI DI VIAGGIO E DEL RECUPERO CREDITI E AD INFORMARE IL CONSIGLIO COMUNALE DEGLI OBIETTIVI RAGGIUNTI IN UNA APPOSITA COMMISSIONE, PRESENTATO DALLA CONSIGLIERA BORGONZONI IN DATA 31 LUGLIO 2013 E APPROVATO NEL CORSO DELLA SEDUTA STESSA";195626;2013;;"Segreteria Generale";"BORGONZONI LUCIA";;
;"Delibera di Consiglio";02/09/2013;"APPROVAZIONE BILANCIO AMBIENTALE PREVENTIVO 2013 E CONSUNTIVO 2012";153904;2013;04/09/2013;"Ambiente e Energia";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/4A4C0B059B93A17BC1257B9000326C90?OpenDocument"
;"Delibera di Consiglio";02/09/2013;"MODIFICA DEGLI ARTT. 7, 9, 13, 16 E 19 DEL REGOLAMENTO PER L 'OCCUPAZIONE DI SUOLO PUBBLICO PER SPAZI DI RISTORO ALL'APERTO ANNESSI A LOCALI DI PUBBLICO ESERCIZIO DI SOMMINISTRAZIONE APPROVATO CON DELIBERA CONSILIARE ODG 301/2012 P.G. N. 223063/2012.";193702;2013;04/09/2013;"Attività Produttive e Commercio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/CD117240D4E3EFBBC1257BB4003CF6C4?OpenDocument"
;"Delibera di Consiglio";09/09/2013;"APPROVAZIONE DEL REGOLAMENTO PER LA PUBBLICITA' DELLA SITUAZIONE PATRIMONIALE DEI TITOLARI DI CARICHE ELETTIVE E DI INDIRIZZO POLITICO, NONCHE' DEI TITOLARI DI CARICHE DIRETTIVE IN ALCUNI ENTI E SOCIETA' PARTECIPATE DAL COMUNE DI BOLOGNA.";95229;2013;11/09/2013;"Staff del Consiglio Comunale";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/AB45A3B2D50F43D0C1257B520042BF9E?OpenDocument"
;"Delibera di Consiglio";09/09/2013;"AUTORIZZAZIONE ALLA SPESA DI 45.980,00 EURO ONERI FISCALI INCLUSI PER IL SERVIZIO DI SUPPORTO AL MANTENIMENTO E GESTIONE DEL SISTEMA DI CONTROLLO DEL TRAFFICO DELLA CITTA' DI BOLOGNA (U.T.O.P.I.A.) PER L'ANNO 2016.";175957;2013;11/09/2013;"Mobilità Sostenibile";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/8DEB62ECA9BE3711C1257BAC00395299?OpenDocument"
;"Delibera di Consiglio";09/09/2013;"VARIAZIONE AL BILANCIO DI PREVISIONE PER L'ESERCIZIO 2013  A 'SALVAGUARDIA DEGLI EQUILIBRI DI BILANCIO' DI CUI ALL'ART. 193 D.LGS. N. 267/2000";185509;2013;11/09/2013;"Finanza e Bilancio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/CB270A34F8821A81C1257BAD0030C6EF?OpenDocument"
;"Delibera di Consiglio";09/09/2013;"AUTORIZZAZIONE ALLA SPESA DI EURO 117.000,00 (ONERI FISCALI INCLUSI) PER IL SERVIZIO DI GESTIONE DELLA RETE CIVICA IPERBOLE PER L'ANNO 2016";200611;2013;11/09/2013;"Segreteria generale - ufficio stampa e comunicazione";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/5703F90AC4A576D5C1257BBE00327F05?OpenDocument"
;"Delibera di Consiglio";09/09/2013;"MODIFICA DELL'ART. 8, COMMA 1, DEL REGOLAMENTO SUL GARANTE PER I DIRITTI DELLE PERSONE PRIVATE DELLA LIBERTA' PERSONALE.";210519;2013;11/09/2013;"Staff del Consiglio Comunale";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/BE2E3F3878EAADE1C1257BD40036AE6A?OpenDocument"
;"OdG";09/09/2013;"ORDINE DEL GIORNO PER INVITARE L'ANCI A PROMUOVERE NELLE SEDI E NEI MODI OPPORTUNI AZIONI DI SENSIBILIZZAZIONE SULL'OPPORTUNITA' DI UNA RIFLESSIONE GENERALE SULL'IMPIANTO DELLA DISCIPLINA RELATIVA ALL'ANAGRAFE PUBBLICA DEGLI ELETTI E DELLE ELETTE, PRESENTATO DALLA PRESIDENZA DEL CONSIGLIO NELLA SEDUTA DEL 9 SETTEMBRE 2013 E APPROVATO ALL'UNANIMITA' DEI PRESENTI NEL CORSO DELLA SEDUTA STESSA";221414;2013;;"Segreteria Generale";;;
;"Delibera di Consiglio";16/09/2013;"APPROVAZIONE REGOLAMENTO ASSISTENTI CIVICI";207690;2013;18/09/2013;"Polizia municipale";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/82185948D6AA1DD1C1257BCF0048C893?OpenDocument"
;"Delibera di Consiglio";16/09/2013;"ADESIONE DEL COMUNE DI BOLOGNA, IN QUALITA' DI SOCIO FONDATORE, ALLA  FONDAZIONE ISTITUTO TECNICO SUPERIORE MECCANICA, MECCATRONICA, MOTORISTICA, PACKAGING";213873;2013;18/09/2013;"Istruzione";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/F8903EB76A3DCAB1C1257BD70035B5F8?OpenDocument"
"20144";"OdG";16/09/2013;"ORDINE DEL GIORNO TESO AD INVITARE IL SINDACO A PROSEGUIRE CON LA PREDISPOSIZIONE E L'ATTUAZIONE DEL PIANO ATTO A GARANTIRE LE MIGLIORI CONDIZIONI IN CAPO ALLA VIVIBILITA' DEL TERRITORIO CITTADINO RENDENDO PREVENTIVAMENTE EDOTTO IL CONSIGLIO COMUNALE FACENDOSI PROMOTORE DI INIZIATIVE PRESSO IL GOVERNO ATTE AD OTTENERE LE RISORSE NECESSARIE PER CONCRETIZZARE AL MEGLIO L'OPERA AMMINISTRATIVA E DI GOVERNO DELLA CITTA'. PRESENTATO DAL CONSIGLIERE P.G. GATTUSO ED ALTRI IN DATA 2 SETTEMBRE 2013.";215341;2013;;"POPOLO DELLA LIBERTA'";"GATTUSO PATRIZIO GIUSEPPE";"TOMASSINI LORENZO - 27208";
"26392";"OdG";16/09/2013;"ORDINE DEL GIORNO PER SOLLECITARE IL GOVERNO ALLA PUNTUALE COPERTURA INTEGRALE DEL GETTITO IMU CHE L'AMMINISTRAZIONE COMUNALE E IL CONSIGLIO COMUNALE DI BOLOGNA HANNO PROPOSTO E APPROVATO PER IL 2013 AL FINE DI GARANTIRE SERVIZI AI CITTADINI E INVESTIMENTI PER LA CITTA' DI BOLOGNA. PRESENTATO DAL CONSIGLIERE CIPRIANI ED ALTRI IL 2 SETTEMBRE 2013.";215589;2013;;"CON AMELIA PER BOLOGNA CON VENDOLA";"CIPRIANI LORENZO";"BUGANI MASSIMO - 33984","CAVIANO PASQUALE - 32714","CRITELLI FRANCESCO - 29442","LA TORRE CATHY - 33979","PIAZZA MARCO - 33985","PIERALISI MIRCO - 33980","SAZZINI LORENZO - 33987";
"27208";"OdG";16/09/2013;"ORDINE DEL GIORNO TESO AD INVITARE IL SINDACO FATTE SALVE LE ESIGENZE DI SICUREZZA DELLE ALTE CARICHE DELLO STATO, DEL PRIMO CITTADINO E DEGLI ORATORI INVITATI, A DEFINIRE NUOVE MODALITA' ORGANIZZATIVE DELLA MANIFESTAZIONE IN RICORDO DELLE VITTIME DELLA STRAGE DEL 2 AGOSTO 1980. PRESENTATO DAL CONSIGLIERE TOMASSINI IN DATA 02.09.2013 ED ALTRI IN DATA 16.09.2013.";215562;2013;;"POPOLO DELLA LIBERTA'";"TOMASSINI LORENZO";"ALDROVANDI STEFANO - 33986","BENASSI MARZIA - 33977","BORGONZONI LUCIA - 33983","BUGANI MASSIMO - 33984","CARELLA DANIELE - 8904","CASTALDINI VALENTINA - 27997","CAVIANO PASQUALE - 32714","CRITELLI FRANCESCO - 29442","FACCI MICHELE - 32712","GATTUSO PATRIZIO GIUSEPPE - 20144","LISEI MARCO - 21843","PIAZZA MARCO - 33985","PIERALISI MIRCO - 33980","SALSI FEDERICA - 32861";
;"Delibera di Consiglio";16/09/2013;"VARIAZIONE AL BILANCIO DI PREVISIONE PER L'ESERCIZIO 2013 E PLURIENNALE 2013-2015 - RIMODULAZIONE DEGLI STANZIAMENTI DI COMPETENZA DELL'AREA PERSONALE E ORGANIZZAZIONE.";215912;2013;18/09/2013;"Area Personale e Organizzazione";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/41E42E733AEEAACEC1257BDB00345086?OpenDocument"
"22034";"OdG";16/09/2013;"ORDINE DEL GIORNO PER INVITARE SINDACO E GIUNTA A PERVENIRE IN TEMPI RAPIDI ALLA FASE OPERATIVA DEL PROGETTO 'ASSISTENTI CIVICI' PRIVILEGIANDO, IN ACCORDO CON I QUARTIERI, GLI AMBITI PIU' SOGGETTI A DEGRADO. PRESENTATO DAL CONSIGLIERE GHETTI E ALTRI IL 9 SETTEMBRE 2013";222087;2013;;"PARTITO DEMOCRATICO";"GHETTI MAURIZIO";"CAVIANO PASQUALE - 32714","CRITELLI FRANCESCO - 29442","LAMA ROSSELLA - 32704","PIERALISI MIRCO - 33980";
"33984";"OdG";23/09/2013;"ORDINE DEL GIORNO PER INVITARE IL CONSIGLIO COMUNALE AD APPLICARE E RATIFICARE LA CONVENZIONE ONU SUI DIRITTI DEI DISABILI PRESENTATO DAL CONSIGLIERE BUGANI IN DATA 21.08.2012, SUCCESSIVAMENTE SOTTOSCRITTO DA ALTRI IN DATA 12.11.2012 E SUCCESSIVAMENTE MODIFICATO IN DATA 15.07.2013.";199331;2012;;"MOVIMENTO 5 STELLE";"BUGANI MASSIMO";"BUGANI MASSIMO - 33984","CARELLA DANIELE - 8904","CAVIANO PASQUALE - 32714","ERRANI FRANCESCO - 33978","FERRI MARIARAFFAELLA - 27410","LISEI MARCO - 21843","MARCHESINI ANGELO - 15586","PIAZZA MARCO - 33985","SANTI RAFFAELLA - 9181";
"33984";"OdG";23/09/2013;"ORDINE DEL GIORNO PER INVITARE IL SINDACO E LA GIUNTA AD INTENSIFICARE IL CONTRASTO ALLA MAFIA E ALL'ILLEGALITA'  NEL CICLO DEL CONTRATTO PUBBLICO,  PRESENTATO DAL CONSIGLIERE BUGANI ED ALTRI IN DATA 13.09.2012";217436;2012;;"MOVIMENTO 5 STELLE";"BUGANI MASSIMO";"PIAZZA MARCO - 33985","SALSI FEDERICA - 32861";
;"Delibera di Consiglio";23/09/2013;"NULLA OSTA ALLA REALIZZAZIONE, IN DEROGA AL VIGENTE REGOLAMENTO URBANISTICO EDILIZIO, DELLA NUOVA CENTRALE TERMICA, FRIGORIFERA E DI COGENERAZIONE NEL COMPLESSO OSPEDALIERO SANT'ORSOLA MALPIGHI (ART. 96 DEL RUE).";212390;2013;25/09/2013;"Piani e Progetti Urbanistici";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/DFC6684734F5E0D1C1257BD300352A52?OpenDocument"
