Progressivo;Tipologia Atto;Data Seduta di Consiglio;Oggetto Atto;Num. PG;Anno PG;Data Pubblicazione;Ufficio Proponente;Consigliere Firmatario;Altri Consiglieri Firmatari - Progressivo;Testo
"26392";"OdG";22/10/2012;"ORDINE DEL GIORNO VOLTO AD INVITARE LA GIUNTA A VERIFICARE LA POSSIBILITA' DI ISTITUIRE UN APPOSITO SERVIZIO DI ACCESSO ALLA VISUALIZZAZIONE ED ALLA STAMPA DEL CEDOLINO MENSILE PENSIONISTICO PER I CITTADINI ANZIANI, PRESENTATO DAL CONSIGLIERE CIPRIANI IN DATA 17/05/2012 E SUCCESSIVAMENTE SOTTOSCRITTO DA ALTRI CONSIGLIERI IN DATA 20.7.2012.";123234;2012;;"CON AMELIA PER BOLOGNA CON VENDOLA";"CIPRIANI LORENZO";;
"27197";"OdG";22/10/2012;"ORDINE DEL GIORNO PER INVITARE LA GIUNTA A SOSTENERE IL PROGETTO A FAVORE DELLA SCLEROSI MULTIPLA, PRESENTATO DAL CONSIGLIERE MELEGA ED ALTRI IN DATA 16.7.2012.";174600;2012;;"PARTITO DEMOCRATICO";"MELEGA CORRADO";"CAVIANO PASQUALE - 32714","MARCHESINI ANGELO - 15586";
;"Delibera di Consiglio";29/10/2012;"APPROVAZIONE DEI CRITERI PER LA REALIZZAZIONE DI NUOVI IMPIANTI DI DISTRIBUZIONE DEI CARBURANTI, NORME TECNICHE E PROCEDURALI PER L' INSTALLAZIONE ED IL FUNZIONAMENTO DEGLI STESSI E PER LA GESTIONE DEGLI IMPIANTI ESISTENTI";219377;2012;31/10/2012;"Attività Produttive e Commercio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/072B039EB9ECA2AEC12579E9004ABDC6?OpenDocument"
"33981";"OdG";29/10/2012;"ORDINE DEL GIORNO PER INVITARE LA GIUNTA A PORRE IN ATTO, DI CONCERTO CON LA REGIONE EMILIA-ROMAGNA, TUTTI GLI ADEMPIMENTI NECESSARI AL FINE DI FAVORIRE LA REALIZZAZIONE DEL PROGETTO DENOMINATO UNA SCELTA IN COMUNE, DOVE TRAMITE IL COMUNE DI BOLOGNA IL CITTADINO BOLOGNESE RENDE CHIARA E INEQUIVOCABILE LA PROPRIA VOLONTA', IN MERITO ALLA DONAZIONE DEI PROPRI ORGANI E TESSUTI, REGISTRANDO IL PROPRIO ASSENSO SULLA CARTA D'IDENTITA', ALL'ATTO DEL RILASCIO/RINNOVO DELLA STESSA, PRESENTATO DAL CONS. COCCONCELLI IN DATA 28.5.2012 E SUCC. SOTTOSCRITTO DA ALTRI IN DATA 27.7.2012.";130038;2012;;"LEGA NORD";"COCCONCELLI MIRKA";;
"33984";"OdG";29/10/2012;"ORDINE DEL GIORNO PER INVITARE LA GIUNTA A PROMUOVERE IL TEATRO COMUNALE E A REPERIRE RISORSE PER INTERVENTI MANUTENTIVI PRESENTATO DAL CONSIGLIERE BUGANI ED ALTRI IN DATA 09.07.2012";170120;2012;;"MOVIMENTO 5 STELLE";"BUGANI MASSIMO";"PIAZZA MARCO - 33985","SALSI FEDERICA - 32861","MELEGA CORRADO - 27197","SCARANO PAOLA FRANCESCA - 33982";
;"Delibera di Consiglio";29/10/2012;"ISTITUZIONI 'GALLERIA D'ARTE MODERNA', 'MUSEI' E 'BIBLIOTECHE' DEL COMUNE DI BOLOGNA. APPROVAZIONE DEI CONTI CONSUNTIVI DELL'ESERCIZIO 2011 E DELLA DESTINAZIONE DEGLI AVANZI DI AMMINISTRAZIONE.";232186;2012;31/10/2012;"Dipartimento Cultura e Scuola";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/F3DB73A28EA2EDAEC1257A6A004DF31F?OpenDocument"
;"Delibera di Consiglio";29/10/2012;"RIMBORSO ANTICIPATO DI MUTUI IN ESSERE CON LA CASSA DEPOSITI E PRESTITI PER UN IMPORTO MASSIMO DI 5 MILIONI DI EURO (ART. N. 8 C. 3 D.L. 174/2012) - VARIAZIONE AL BILANCIO DI PREVISIONE PER L'ESERCIZIO 2012.";246563;2012;31/10/2012;"Finanza e Bilancio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/632898602C5737CFC1257A9B003373D7?OpenDocument"
"27208";"OdG";05/11/2012;"ORDINE DEL GIORNO PER INVITARE IL PARLAMENTE ED IL GOVERNO AD ASSICURARE LA MASSIMA PRIORITA' ALL'ASSISTENZA AI MALATI DI SLA, PRESENTATO DAI CONSIGLIERI TOMASSINI E GATTUSO NELLA SEDUTA DEL 5 NOVEMBRE 2012 E APPROVATO ALL'UNANIMITA' DEI PRESENTI NEL CORSO DELLA SEDUTA STESSA";261073;2012;;"Segreteria Generale";"TOMASSINI LORENZO";"GATTUSO PATRIZIO GIUSEPPE - 20144";
"26392";"OdG";05/11/2012;"ORDINE DEL GIORNO PER CONDANNARE OGNI FORMA DI DISCRIMINAZIONE E DI VIOLENZA CONTRO LE DONNE E GLI OMOSESSUALI, SIA ESSA VERBALE CHE FISICA, PRESENTATO DAI CONSIGLIERI CIPRIANI, BORGONZONI E ALTRI NELLA SEDUTA DEL 5 NOVEMBRE 2012 E APPROVATO NEL CORSO DELLA SEDUTA STESSA";261134;2012;;"Segreteria Generale";"CIPRIANI LORENZO";"ALDROVANDI STEFANO - 33986","BARCELO' LIZANA LEONARDO LUIS - 27189","BENASSI MARZIA - 33977","BORGONZONI LUCIA - 33983","CAVIANO PASQUALE - 32714","COCCONCELLI MIRKA - 33981","CRITELLI FRANCESCO - 29442","FERRI MARIARAFFAELLA - 27410","LA TORRE CATHY - 33979","LAMA ROSSELLA - 32704","LO GIUDICE SERGIO - 18313","MAZZANTI CLAUDIO - 9076","MELEGA CORRADO - 27197","MIGNANI MARIANNA - 32794","PETRELLA TOMMASO - 9097","PIERALISI MIRCO - 33980","TURCI DANIELA - 32708","LEMBI SIMONA - 32746","MARCHESINI ANGELO - 15586";
"27410";"OdG";05/11/2012;"ORDINE DEL GIORNO PER CONDANNARE OGNI FORMA DI ATTEGGIAMENTO O LINGUAGGIO SESSISTA NELL'AMBITO DEL CONFRONTO POLITICO CHE CREI OFFESA AL GENERE O ALL'ORIENTAMENTO SESSUALE, PRESENTATO DALLA CONSIGLIERA FERRI E ALTRI NELLA SEDUTA DEL 5 NOVEMBRE 2012 E APPROVATO NEL CORSO DELLA SEDUTA STESSA";261142;2012;;"Segreteria Generale";"FERRI MARIARAFFAELLA";"BARCELO' LIZANA LEONARDO LUIS - 27189","BENASSI MARZIA - 33977","CAVIANO PASQUALE - 32714","CIPRIANI LORENZO - 26392","CRITELLI FRANCESCO - 29442","ERRANI FRANCESCO - 33978","GHETTI MAURIZIO - 22034","LA TORRE CATHY - 33979","LAMA ROSSELLA - 32704","LEMBI SIMONA - 32746","LO GIUDICE SERGIO - 18313","MARCHESINI ANGELO - 15586","MAZZANTI CLAUDIO - 9076","MELEGA CORRADO - 27197","MIGNANI MARIANNA - 32794","PETRELLA TOMMASO - 9097","TURCI DANIELA - 32708","ZACCHIROLI BENEDETTO - 27481","PIERALISI MIRCO - 33980";
"21843";"OdG";12/11/2012;"ORDINE DEL GIORNO PER INVITARE IL SINDACO E LA GIUNTA AD ATTIVARSI CON HERA S.P.A. AFFINCHE' SI ADOTTINO MISURE STRAORDINARIE DI LAVAGGIO DELLE STRADE E DEI PORTICI E DELLE PIAZZE IN ZONA UNIVERSITARIA (CON PARTICOLARE RIFERIMENTO A  PIAZZA VERDI, VIA PETRONI E LE ZONE ADIACENTI) PRESENTATO DAL CONSIGLIERE LISEI ED ALTRI IN DATA 11.06.2012";142565;2012;;"POPOLO DELLA LIBERTA'";"LISEI MARCO";"CARELLA DANIELE - 8904","CASTALDINI VALENTINA - 27997","FACCI MICHELE - 32712";
"18313";"OdG";12/11/2012;"ORDINE DEL GIORNO PER ESPRIMERE SOLIDARIETA' AI CITTADINI VITTIME DELL'AGGRESSIONE AVVENUTA IN PIAZZA VERDI NELLA NOTTE DEL 9 GIUGNO 2012, PRESENTATO DAL CONSIGLIERE LO GIUDICE ED ALTRI IN DATA 11.6.2012.";142600;2012;;"PARTITO DEMOCRATICO";"LO GIUDICE SERGIO";"CAVIANO PASQUALE - 32714","LA TORRE CATHY - 33979";
;"Delibera di Consiglio";12/11/2012;"APPROVAZIONE DEL SECONDO ADEGUAMENTO DEL 'PROGRAMMA DEI LAVORI PUBBLICI 2012-2014', DELL' 'ELENCO ANNUALE DEI LAVORI PER IL 2012' E DEL' PIANO POLIENNALE DEI LAVORI PUBBLICI E DEGLI INVESTIMENTI PER IL TRIENNIO 2012-2014'. AI SENSI DELL'ART. 128 DEL D.LGS.N. 163/2006,";249263;2012;14/11/2012;"Dipartimento Cura e Qualità del Territorio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/30176AC265E29A86C1257A9F0037DAC2?OpenDocument"
;"Delibera di Consiglio";19/11/2012;"ASSESTAMENTO DEL BILANCIO DI PREVISIONE IN RAGIONE DELL'ANDAMENTO DELL'ESERCIZIO FINANZIARIO 2012 - ART. 175, COMMA 8, D.LGS. 267/2000 (RAG. IV).";248432;2012;21/11/2012;"Finanza e Bilancio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/BF62881E38F0E361C1257A84002B13F0?OpenDocument"
;"Delibera di Consiglio";19/11/2012;"APPROVAZIONE DELLA SPESA COMPLESSIVA DI EURO 150.000,00 PER LAVORI DI SOMMA URGENZA PER LA MESSA IN SICUREZZA DEL COPERTO DEL PALAZZO DELLO SPORT SITO IN PIAZZA AZZARITA.";252897;2012;21/11/2012;"Gare";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/CBB6AD6591CF041DC1257AA20046349E?OpenDocument"
;"Delibera di Consiglio";19/11/2012;"PROGETTO 'PROCESSO PARTECIPATIVO E TOWN MEETING SULLO STATUTO PER LA CONVIVENZA E LA DEMOCRAZIA DELIBERATIVA NELLA CITTA' METROPOLITANA DI BOLOGNA'. ADESIONE DEL COMUNE DI BOLOGNA.";263359;2012;21/11/2012;"Gabinetto del Sindaco";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/17C2B9C0CD68A559C1257AB1004333FB?OpenDocument"
"33986";"OdG";19/11/2012;"ORDINE DEL GIORNO PER CHIEDERE ALLA GIUNTA DI PREDISPORRE IN BREVE PERIODO UN DOCUMENTO DA SOTTOPORRE AL CONSIGLIO COMUNALE CHE IDENTIFICHI LE VIE E FISSI I METODI PER LA CREAZIONE DI POSTI DI LAVORO NELLE IMPRESE BOLOGNESI, PRESENTATO DAL CONSIGLIERE ALDROVANDI E ALTRI NELLA SEDUTA DEL 19 NOVEMBRE 2012 E APPROVATO ALL'UNANIMITA' DEI PRESENTI NEL CORSO DELLA SEDUTA STESSA";272777;2012;;"Segreteria Generale";"ALDROVANDI STEFANO";"BERNARDINI MANES - 32719","BUGANI MASSIMO - 33984","CAVIANO PASQUALE - 32714","COCCONCELLI MIRKA - 33981","LEMBI SIMONA - 32746","LISEI MARCO - 21843","LO GIUDICE SERGIO - 18313","MEROLA VIRGINIO - 16863","PIERALISI MIRCO - 33980","SCARANO PAOLA FRANCESCA - 33982";
;"Delibera di Consiglio";26/11/2012;"ADEGUAMENTO 'TECNICO' DELLE PREVISIONI DEL VIGENTE BILANCIO PLURIENNALE PER GLI ESERCIZI 2013 E 2014 IN RELAZIONE ALLE RECENTI DISPOSIZIONI IN MATERIA DI FINANZA LOCALE DI CUI ALLA LEGGE N. 135/2012 'SPENDING REVIEW' E AL D.L. N. 174/2012.";259735;2012;28/11/2012;"Finanza e Bilancio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/33FF6BA7004EC8BAC1257AA7004B9CCF?OpenDocument"
;"Delibera di Consiglio";26/11/2012;"VARIAZIONE AL BILANCIO DI PREVISIONE PER L'ESERCIZIO 2012 E AL BILANCIO PLURIENNALE 2012-2014 PER MAGGIORI ENTRATE A DESTINAZIONE VINCOLATA.";264281;2012;28/11/2012;"Attività Produttive e Commercio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/0868520A4278B8EDC1257AB0004C62BC?OpenDocument"
;"Delibera di Consiglio";26/11/2012;"VARIAZIONE AL BILANCIO DI PREVISIONE PER L'ESERCIZIO 2012, PER LA RIMODULAZIONE DI STANZIAMENTI RELATIVI AL REIMPIEGO DELL'IMPOSTA DI SOGGIORNO";269137;2012;28/11/2012;"Direzione Generale";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/2E7043E703740CC3C1257AB80038D0FA?OpenDocument"
"33985";"OdG";26/11/2012;"ORDINE DEL GIORNO PER INVITARE IL SINDACO E LA GIUNTA, IN SEDE DI RIMODULAZIONE DEGLI STANZIAMENTI DELL'IMPOSTA DI SOGGIORNO, A CONFERMARE, FRA GLI OBIETTIVI PRIORITARI, IL FINANZIAMENTO DEI 250 ANNI DEL TEATRO COMUNALE, PRESENTATO DAL CONSIGLIERE PIAZZA E ALTRI NELLA SEDUTA DEL 26 NOVEMBRE 2012 E APPROVATO ALL'UNANIMITA' DEI PRESENTI NEL CORSO DELLA SEDUTA STESSA";278107;2012;;"Segreteria Generale";"PIAZZA MARCO";"SCARANO PAOLA FRANCESCA - 33982";
;"OdG";26/11/2012;"ORDINE DEL GIORNO SULL'INTITOLAZIONE DI UNO SPAZIO PUBBLICO DELLA CITTA' DI BOLOGNA ALLA GIORNATA MONDIALE CONTRO LA VIOLENZA ALLE DONNE, PRESENTATO NEL CORSO DELLA SEDUTA CONGIUNTA DEL CONSIGLIO COMUNALE E PROVINCIALE DEL 26 NOVEMBRE 2012 E APPROVATO, ALL'UNANIMITA' DEI PRESENTI, NEL CORSO DELLA SEDUTA STESSA";278190;2012;;"Segreteria Generale";;;
;"Delibera di Consiglio";03/12/2012;"ACCETTAZIONE DI DONAZIONE DA PARTE DELLA SOCIETA' FINCOLOR SRL DI PICCOLA PORZIONE DI AREA DI CIRCA MQ 30 IN BOLOGNA PER LA REALIZZAZIONE DI UN PERCORSO PEDONALE PUBBLICO CHE COLLEGHI LA STRADA-PARCHEGGIO PUBBLICO REALIZZATA NELL'AMBITO DEL PRU R3.52* VIA DEL TUSCOLANO E VIA STENDHAL .";257562;2012;05/12/2012;"Patrimonio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/6C557610E95FB17AC1257AA800314F78?OpenDocument"
;"Delibera di Consiglio";03/12/2012;"VARIANTE AL POC E AL RUE VIGENTI PER LA DISCIPLINA DI PARTE DELL' AMBITO IN TRASFORMAZIONE N. 129 BERTALIA-LAZZARETTO (ART. 20 DEL QUADRO NORMATIVO DEL PSC VIGENTE). ADOZIONE.";261011;2012;05/12/2012;"Urbanistica - Edilizia";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/CC884A571F25595CC1257AAE003395BF?OpenDocument"
;"Delibera di Consiglio";03/12/2012;"ART.3 DEL D.P.R. N. 383 DEL 18 APRILE 1994. PARERE DI COMPETENZA PER LA REALIZZAZIONE DI VARIANTE ESSENZIALE AL PROGETTO DELL'UNIVERSITA' DEGLI STUDI DI BOLOGNA PER LA REALIZZAZIONE DEL 'CENTRO SERVIZI AREA CAVATICCIO',  A COMPLETAMENTO DELLA RESIDENZA STUDENTESCA DEL CASTELLACCIO, ALL'INTERNO DEL PRU MANIFATTURA TABACCHI. QUARTIERE PORTO.";264292;2012;05/12/2012;"Urbanistica - Edilizia";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/2ADCA41AD06FD2E6C1257AAF003C0EE5?OpenDocument"
;"Delibera di Consiglio";03/12/2012;"COSTITUZIONE DELLA NUOVA  ISTITUZIONE 'BOLOGNA MUSEI' E APPROVAZIONE DEL RELATIVO REGOLAMENTO.";269053;2012;05/12/2012;"Dipartimento Cultura e Scuola";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/85AF7C3D7DCC85FDC1257AB000580E2A?OpenDocument"
;"Delibera di Consiglio";03/12/2012;"CUP 2000 S.P.A.: AUMENTO DI CAPITALE SOCIALE A PAGAMENTO DI EURO 5.000,00, MEDIANTE EMISSIONE DI AZIONI SPECIALI, FINALIZZATO ALL'INGRESSO NELLA COMPAGINE SOCIETARIA DEL COMUNE DI FERRARA. MODIFICHE AGLI ARTICOLI 4 E 6 DELLO STATUTO SOCIALE,";274382;2012;05/12/2012;"Partecipazioni societarie";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/78E59FB2BD5D81BBC1257AB10038E7A0?OpenDocument"
"15586";"OdG";03/12/2012;"ORDINE DEL GIORNO COLLEGATO ALLA DELIBERA DI CONSIGLIO N. 342/2012 TESO AD INVITARE IL SINDACO E LA GIUNTA A PROMUOVERE L'INTEGRAZIONE DEL FASCICOLO SANITARIO ELETTRONICO CON IL FUTURO FASCICOLO DEL CITTADINO CHE RAPPRESENTA UNO DEGLI OBIETTIVI DELL'AGENDA DIGITALE DEL COMUNE DI BOLOGNA PRESENTATO DAL CONSIGLIERE MARCHESINI ED ALTRI IN DATA 3.12.2012.";282926;2012;;"Commissione Pianificazione Contabilità Economica e Controllo di Gestione";"MARCHESINI ANGELO";"LO GIUDICE SERGIO - 18313","MELEGA CORRADO - 27197";
;"Delibera di Consiglio";17/12/2012;"APPROVAZIONE DEL REGOLAMENTO PER L'OCCUPAZIONE DI SUOLO PUBBLICO PER SPAZI DI RISTORO ALL'APERTO ANNESSI A LOCALI DI PUBBLICO ESERCIZIO DI SOMMINISTRAZIONE";223063;2012;20/12/2012;"Attività Produttive e Commercio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/C6AFD10BA54C7B8CC1257A84002911C1?OpenDocument"
;"Delibera di Consiglio";17/12/2012;"APPROVAZIONE DELL'ADEGUAMENTO, A OTTOBRE 2012, DEL PIANO DELLE ALIENAZIONI E VALORIZZAZIONI DEL PATRIMONIO IMMOBILIARE.";267802;2012;20/12/2012;"Patrimonio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/6AE80553FD07FF21C1257AAD0042918A?OpenDocument"
;"Delibera di Consiglio";17/12/2012;"PIANO SOSTA E SERVIZI COMPLEMENTARI ALLA MOBILITA': MODIFICA CLASSIFICAZIONE E SPECIFICHE TARIFFE UTILIZZO PARCHEGGIO EX BUTON (BORGO MASINI). AGGIORNAMENTI QUADRO TARIFFARIO.";274931;2012;20/12/2012;"Mobilità Sostenibile";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/74A818476BBF3940C1257AB0004A0379?OpenDocument"
;"Delibera di Consiglio";17/12/2012;"RIACCERTAMENTO DEI RESIDUI ATTIVI E PASSIVI AI SENSI DELL'ART.14 DEL DPCM 28.12.2011 'SPERIMENTAZIONE DELLA DISCIPLINA CONCERNENTE I SISTEMI CONTABILI E GLI SCHEMI DI BILANCIO DELLE REGIONI, DEGLI ENTI LOCALI E DEI LORO ORGANISMI, DI CUI ALL'ART.36 DEL D.LGS. 23/06/2011 N.118";274275;2012;20/12/2012;"Finanza e Bilancio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/2E71A197EA356314C1257AB0003B1629?OpenDocument"
